"NET.2.1";"G 0.09";"G 0.15";"G 0.16";"G 0.18";"G 0.23";"G 0.24";"G 0.25";"G 0.30";"G 0.31";"G 0.40";"G 0.43";"G 0.44"
"NET.2.1.A01";;;;X;;;;;;;;
"NET.2.1.A02";X;X;;X;X;;;X;;;X;
"NET.2.1.A03";;X;;X;X;;;X;;;X;
"NET.2.1.A04";X;;X;X;;X;X;;;X;;X
"NET.2.1.A05";;X;;;X;;;X;X;;X;
"NET.2.1.A06";;X;;;X;;;X;X;;X;
"NET.2.1.A07";;X;;X;X;;;;;;;
"NET.2.1.A08";;X;;;;;;;;;;
"NET.2.1.A09";;X;;X;X;;;;X;;;
"NET.2.1.A10";;X;;X;;;;;;;;
"NET.2.1.A11";;;;X;;;;;;;;
"NET.2.1.A12";;;X;;X;;X;X;X;X;X;
"NET.2.1.A13";;;;;X;;;X;;X;X;
"NET.2.1.A14";;;;;X;;;X;;X;X;
"NET.2.1.A15";;X;;;X;;;X;X;;X;
"NET.2.1.A16";;X;;;X;;;X;;;;
"NET.2.1.A17";;X;;;X;;;;;;;
"NET.2.1.A18";;;;;X;;;X;;X;X;
