"OPS.1.2.4";"G 0.14";"G 0.18";"G 0.19";"G 0.21";"G 0.22";"G 0.23";"G 0.24";"G 0.25";"G 0.30";"G 0.31";"G 0.32";"G 0.33";"G 0.40";"G 0.45";"G 0.46"
"OPS.1.2.4.A01";X;X;X;X;X;X;;;X;X;X;X;;X;X
"OPS.1.2.4.A02";X;;X;X;X;X;;;X;X;;;X;X;X
"OPS.1.2.4.A03";X;;X;X;X;X;;;X;X;;;X;;X
"OPS.1.2.4.A04";X;;;X;X;X;X;;X;;X;;X;X;X
"OPS.1.2.4.A05";X;X;X;X;X;X;;;;;;;;;X
"OPS.1.2.4.A06";;X;;;;;X;X;;;;X;;X;
"OPS.1.2.4.A07";X;X;X;X;X;X;;;X;X;X;;;;X
"OPS.1.2.4.A08";;X;;;;;;;;;;X;;;X
"OPS.1.2.4.A09";;X;;;;;;X;;;;;;;X
"OPS.1.2.4.A10";;X;;;;;;;;;;;;;
