"CON.5";"G 0.18";"G 0.19";"G 0.22";"G 0.23";"G 0.26";"G 0.28";"G 0.29";"G 0.30";"G 0.31";"G 0.38";"G 0.39";"G 0.45";"G 0.46"
"CON.5.A01";X;X;;X;;;;;;X;X;X;X
"CON.5.A02";X;;X;X;X;X;;;;;;X;
"CON.5.A03";;;;X;;;;;;;;;
"CON.5.A04";;X;;;;;;X;X;;;X;X
"CON.5.A05";;X;;X;;;;X;X;X;X;X;X
"CON.5.A06";;;;;;;;;;;;;
"CON.5.A07";X;X;;;;;X;;;;;;
"CON.5.A08";X;;;X;X;X;;;;;;;X
"CON.5.A09";;X;;;;;;;;X;;X;
"CON.5.A10";;;;;;;;;;;;X;
"CON.5.A11";;;;X;X;;X;X;X;;X;;
"CON.5.A12";;;X;;;;;;;;;X;
"CON.5.A13";;;;;;;;;;;;X;
