"SYS.2.3";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.25";"G 0.28";"G 0.30";"G 0.31";"G 0.32";"G 0.39";"G 0.45";"G 0.46"
"SYS.2.3.A01";;;;;;;;X;X;X;;;
"SYS.2.3.A02";;X;X;;;;X;;;;;;
"SYS.2.3.A03";X;;;X;;;;;;;;X;X
"SYS.2.3.A04";;X;X;;;X;X;;;;X;;
"SYS.2.3.A05";;X;X;;;;X;;;;X;;
"SYS.2.3.A06";;;X;X;X;X;;;;;;X;
"SYS.2.3.A07";X;;X;X;;;;X;X;X;;;
"SYS.2.3.A08";X;;X;X;;;;X;X;X;;;
"SYS.2.3.A09";;;X;X;X;;;X;X;X;;X;X
"SYS.2.3.A10";;;X;X;X;X;;;;;;X;
"SYS.2.3.A11";;;;;;X;;;;;;X;X
"SYS.2.3.A12";X;X;X;X;X;X;X;X;X;X;X;X;X
"SYS.2.3.A13";X;;X;X;X;;;X;X;;;;
"SYS.2.3.A14";;;X;X;;X;;X;;;;;
"SYS.2.3.A15";;;X;X;X;;;;;;;;
"SYS.2.3.A16";;;X;X;X;X;;;;;;X;
"SYS.2.3.A17";;;X;;;;;X;X;X;;;
"SYS.2.3.A18";;;X;X;X;;;X;X;X;X;X;X
"SYS.2.3.A19";X;;;X;X;;;;;;;;X
"SYS.2.3.A20";;;;;;X;;;X;X;;;
