"CON.7","CIA","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.20","G 0.29","G 0.30","G 0.31","G 0.35","G 0.36","G 0.39","G 0.42","G 0.45","G 0.46"
"APP.3.1.A16","",X,,,,,X,,X,,X,,,,
"APP.3.1.A17","",,X,,X,X,X,,X,X,X,,,X,X
"APP.3.1.A18","",,,,,,,,,,,,,,
"APP.3.1.A19","",,X,,X,X,X,,X,X,X,,,X,X
"APP.3.1.A20","CIA",,X,,X,X,X,,X,X,X,X,X,X,X
"APP.3.1.A21","",,X,,,,,,,X,X,,,,X
"APP.3.1.A22","",,X,,X,X,X,X,X,X,X,X,X,X,X
"APP.3.1.A23","",,X,,,X,X,,X,X,X,X,,,X
"APP.3.1.A24","A",,,,,,,,,,,,X,,
"APP.3.1.A25","CI",,X,,,,,,,,,,,X,
"APP.3.2","CIA","G 0.11","G 0.15","G 0.18","G 0.19","G 0.21","G 0.22","G 0.23","G 0.25","G 0.26","G 0.27","G 0.28","G 0.29","G 0.30","G 0.31","G 0.39","G 0.40","G 0.46"
"APP.3.2.A01","",,,,X,X,X,X,,,,,,,,,,X
"APP.3.2.A02","",,,,X,X,X,X,,,,,,,,,,X
"APP.3.2.A03","",,,,X,,,,,,,,,,,X,X,
"APP.3.2.A04","",,,,,,,,,X,,,,X,,,,
"APP.3.2.A05","",,X,,,,X,X,,,,,,X,,,,
"APP.3.2.A06","",,,,,,,,,,,,,,,,,
"APP.3.2.A07","",,,,,,,,,,,,X,,,,,
"APP.3.2.A08","",,,X,,,,,,,X,,,,X,,,
"APP.3.2.A09","",,,X,,,,,,,X,,,,X,,,
"APP.3.2.A10","",X,,X,,,,,,,,,X,,,,,
"APP.3.2.A11","",,X,,,,,,,,,,,,,,,
"APP.3.2.A12","",,,,X,,,,X,X,,,,,,,,
"APP.3.2.A13","",,,,,,,,,,,,,X,,,,
"APP.3.2.A14","",,,,,,,,,,,,,,,X,,X
"APP.3.2.A15","",,,,,,,,X,,,,,,,X,,
"APP.3.2.A16","",,,,,,X,X,,,,X,,,,,,
"APP.3.2.A17","CI",,,,,,X,X,,,,,,X,,,,
"APP.3.2.A18","A",,,,,,,,X,X,,,,,,,X,
"APP.3.2.A19","",,,,,,,,,,,,,,,,,
"APP.3.2.A20","",,,,,,,X,,,X,X,,,,,,
"APP.1.4","CIA","G 0.09","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.20","G 0.21","G 0.23","G 0.25","G 0.26","G 0.28","G 0.29","G 0.32","G 0.36","G 0.38","G 0.39","G 0.42"
"APP.1.4.A01","",X,X,X,X,X,X,X,,,,X,X,,X,,,X,,
"APP.1.4.A02","",,X,X,X,X,X,X,,,X,,,,X,,,,,X
"APP.1.4.A03","",,X,,,,X,X,X,X,X,,,,X,X,,,X,
"APP.1.4.A04","",,,,,,X,,,,,,X,X,X,X,,,X,
"APP.1.4.A05","",,X,X,,,,X,,X,,,,,X,X,,X,X,X
"APP.1.4.A06","",,,,,,,,,,,X,X,X,,,,,,
"APP.1.4.A07","",,X,,X,X,,X,,,,,,,,,,,,
"APP.1.4.A08","",,X,X,,,,X,,,,,,,X,,,X,,
"APP.1.4.A09","",X,X,X,,,,X,,,X,,,,,,,,,
"APP.1.4.A10","",X,X,X,,,,X,,,X,,,,,X,X,,,
"APP.1.4.A11","",,,,,,X,,,,,,,,X,,,,,
"APP.1.4.A12","",,X,,,,X,X,,,,,,,X,,,X,,
"APP.1.4.A13","A",X,,,,,X,,,,,X,X,,,,,,,
"APP.1.4.A14","CI",,X,,X,X,X,X,,,X,,,,X,X,X,,,
"APP.1.4.A15","CIA",,,,,,,,,X,X,X,X,X,,,,,,
